id,text,,Date,label,Comments
533790,"Banks Near Settlement in FX Probe --- Citigroup, Barclays, J.P. Morgan and RBS are expected to pay billions and plead guilty",86451,2015/5/7,Y,
533791,AT&amp;T Beats U.S. in Antitrust Fight --- Judge backs $80 billion Time Warner deal as media companies eye wave of consolidation,213576,2018/6/13,Y,
533792,Kerr-McGee Is Asked About River Pollution,611423,2003/1/8,Y,
533793,Lawsuit Details Rite Aid's Accounting Woes,476057,2001/2/8,Y,
533794,Publishers Laud Google Antitrust Suit,313583,2020/12/23,Y,
533795,EU Launches Antitrust Probe Into Google's Use of Ad Tech,305274,2021/6/23,Y,
533796,Discriminating Against Oracle,232438,2019/2/14,Y,
533797,New Suit by States Accuses Google of Search Monopoly,298744,2020/12/18,Y,
533798,Ford to Build Electric Cars in Canada --- Three-year settlement with Unifor union includes $1.5 billion investment in plants,275218,2020/9/23,Y,
533799,Telecommunications Brief -- Sprint Nextel Corp.: FTC Gives Antitrust Clearance For Buyout of Nextel Partners,685376,2006/2/7,Y,
533800,Allstate Corp.: Up to $120 Million Will Be Paid To Settle Overtime Lawsuit,733531,2005/9/2,Y,
533801,"Philip Morris Case Tars Kraft Foods --- Moody's Cuts Debt Ratings, Bonds of Altria, Its Units, Citing Tobacco Litigation",612678,2003/4/1,Y,
533802,"General Dynamics to Buy Newport News --- Latest Bid for Shipbuilder Totals $2.1 Billion, Poses Antitrust Issue for Bush",618995,2001/4/25,Y,
533803,Business Brief -- AOL Time Warner Inc.: Texas Networking Inc. Complains of Violation Of Order to Negotiate,570051,2001/8/10,Y,
533804,Business News: FTC Files a Lawsuit Against Qualcomm,182224,2017/1/18,Y,
533805,"Bear Stearns, SEC Near Settlement In Clearing Case",444963,1999/4/9,Y,
533806,SEC Dismisses Case of Illegal Trading After Judge Refuses to Delay Discovery,381628,1998/7/27,Y,
533807,Business News: Disney Sues to Stop Code Sales --- Studio says Redbox sells digital copies in violation of DVD copyrights,200874,2017/12/1,Y,
533808,"Digging Deep: As Exxon Pursues African Oil, Charity Becomes Political Issue; Angola Pushes Companies To Donate Amid Worries About Mismanagement; A Little-Used CT Scanner",649670,2006/1/10,Y,
533809,HCA's Net Declines On Charges Including Medicare Settlement,466371,2001/2/7,Y,
533810,Yahoo Data Breach Hits Millions,175064,2016/9/23,Y,
533811,"Black Ex-Owners Sue McDonald's --- Chain denies claim it was discriminatory, steered franchisees to subpar locations",275738,2020/9/2,Y,
533812,"Corporate News: Cablevision Alleges Coercion --- Firm Says Viacom 'Strong-Armed' It, Threatening $1 Billion Penalty on Package",56732,2013/3/8,Y,
533813,Merck Sues to Stop the IRA's 'Extortion',356445,2023/6/8,Y,
533814,Called to Account -- Credit Markets: Fannie Mae Bonds Overcome News Of SEC Violation,692508,2004/12/17,Y,
533815,Judge Forces SEC to Defend Its Tougher Tack --- Details Behind BofA Settlement to Be Drawn Out in Hearing on Monday; Policy Contradiction?,768421,2009/8/7,Y,
533816,Corporate News: Court Favors eBay In L'Oreal Lawsuit,795817,2009/5/14,Y,
533817,"Medtronic Paid the Surgeon Accused Of Falsifying Study Nearly $800,000",761911,2009/6/18,Y,
533818,Medtronic Inc.: Pact With Surgeon/Inventor Passes FTC Antitrust Review,631053,2005/5/13,Y,
533819,Leading the News: Scrushy May Be Indicted Today; HealthSouth Ex-Chairman Faces Charges He Took Part In Big Accounting Fraud,551955,2003/11/4,Y,
533820,Novell Inc.: Judge Dismisses 4 of 6 Claims In Microsoft Antitrust Case,718190,2005/6/15,Y,
533821,GE Runs Into Graft Warning in Iraq --- Report prepared for the company lays out corruption allegations against key partners,218488,2018/11/19,Y,
533822,Walt Disney Co.: Delaware Judge to Rule Quickly On Lawsuit Over CEO Search,701563,2005/6/2,Y,
533823,Energy Brief -- Dynegy Inc.: Three Enter 'Not Guilty' Pleas In Fraud and Conspiracy Case,635056,2003/7/2,Y,
533824,Judge Rejects Intel Motion to Dismiss Lawsuit by Intergraph,547485,1999/6/8,Y,
533825,Business News: U.S. Says Bias Is Likely in Walmart's Pay --- Agency says retail chain possibly discriminated against 178 female workers,257250,2019/9/18,Y,
533826,Lawsuit May Put an Obstacle In Raytheon's Path to Recovery,484771,2001/3/16,Y,
533827,GM Sues UAW in Effort to End Strike --- Lawsuit Seeks Arbitration And Opens a New Front In Battle With Union,540430,1998/7/15,Y,
533828,"Prince Shows Shame, Rubin Defiance --- Former Citigroup Officials Say They, and Regulators, Didn't See Risks; 'I'm Sorry' Three Times",798990,2010/4/9,Y,
533829,"Former Citigroup Executive, Three Others Agree to Settle Charges of Insider Trading",475228,2001/9/28,Y,
533830,"Health Brief -- McKesson Corp.: Sales Gain, Lawsuit Settlement Help Boost Earnings by 5.1%",567395,2004/7/23,Y,
533831,Cisco Left to Cool Its Heels in the Penalty Box,67893,2013/12/13,Y,
533832,"Leading the News: Improper Booking Wasn't Unusual At CA, Court Told",581514,2004/1/23,Y,
533833,Oracle's Ghost of Christmas Future,920891,2011/12/22,Y,
533834,AMR Corp.: Airline Reaches an Agreement To Settle Discrimination Case,564144,2004/3/2,Y,
533835,Qualcomm Inc.: Complaint Filed With Agency Alleges Nokia Violated Patents,700800,2006/6/13,Y,
533836,"Google Pays Fine to Settle French Probe --- Resolution of antitrust case, which alleged ad- sales abuse, provides template for others",310702,2021/6/8,Y,
533837,Facebook Prepares To Pay Big Fine --- Company sets aside $3 billion for possible settlement over privacy in its latest quarter,245202,2019/4/25,Y,
533838,Leading the News: Deeper Accounting Woes at Xerox --- Improperly Booked Revenue For 5-Year Period Could Be More Than SEC Estimate,504236,2002/6/28,Y,
533839,Intel Corp.: Japan Unit Receives Extension To Respond to Antitrust Order,692541,2005/3/21,Y,
533840,"Enron Rigged Power Market In California, Documents Say",533224,2002/5/7,Y,
533841,"Charges Fly as Visa, MasterCard Near Start of Credit-Card Antitrust Trial",456153,2000/5/26,Y,
533842,Pepsi Files Lawsuit To End Relationship With Big Franchisee,523980,1998/6/3,Y,
533843,"EXCHANGE --- Technology -- On Business: Being a Giant Isn't a Crime --- Amazon's scale worries critics, but antitrust law doesn't penalize bigness",240432,2018/9/22,Y,
533844,Medtronic Inc.: Settlement Plans Are Opposed In Lawsuits Against Division,699696,2006/8/1,Y,
533845,Tribune Ex-Aides Are Arrested Over False-Circulation Scams,621266,2005/6/16,Y,
533846,Transportation Brief -- Union Pacific Corp.: Entergy Unit Files A Lawsuit Over Coal-Deliveries Dispute,693613,2006/4/13,Y,
533847,Suits Zero In on Zuckerberg Deals --- Facebook antitrust cases focus on CEO's role in fending off rivals by buying them up,291673,2020/12/11,Y,
533848,Moving the Market: TJX Data Breach Poses Woe for Bank; Fifth Third Handles Credit-Card Work For Hacked Retailer,752740,2007/1/19,Y,
533849,Intel Corp.: Advanced Micro Devices to Get Documents in Antitrust Suit,739869,2006/12/29,Y,
533850,FedEx Is Charged in Illegal Drug Deliveries,82356,2014/7/18,Y,
533851,"RealNetworks Inc.: Net Surges to $39.9 Million, Aided by Microsoft Settlement",718987,2006/7/28,Y,
533852,Business News: Merck Gets a Win In Patent Lawsuit,147245,2016/3/23,Y,
533853,AIG Is Near Closing Settlement With SEC Over PNC Financial,601780,2004/11/15,Y,
533854,Defense Brief -- Northrop Grumman Corp.: Settlement Accord Is Signed With U.S. Totaling $80 Million,515787,2003/8/21,Y,
533855,Corporate News: Fast-Food Workers Take to Streets --- Demonstrations in Cities Nationwide Call for a $15-an-Hour Wage; Hundreds of Arrests Are Reported,87431,2014/9/5,Y,
533856,Microsoft Subject of New Antitrust Probe --- U.S. Is Investigating If Firm Tried to Induce Netscape To Split Internet Market,449775,1998/4/24,Y,
533857,Corporate News: Pfizer Pleads Guilty to Improper Marketing,775186,2009/9/3,Y,
533858,Global Finance: BofA Settlement Hits Snags --- Justice Department Behind Schedule in Resolving Lending-Discrimination Case,21199,2012/12/31,Y,
533859,Video Retailers Have Day in Court --- Plaintiffs Say Supply Deals Between Blockbuster Inc. And Studios Violate Laws,493708,2002/6/13,Y,
533860,"Politics &amp; Economics: Canada's Social Stance Is Tested by Arrests; Critics Say 'Mosaic' Model Is Cracking Under Immigration Program, Imams' Growing Sway",734165,2006/6/13,,
533861,Lockheed Martin Corp.: Unit Is to Pay to Settle Age-Discrimination Suit,772483,2008/4/8,Y,
533862,Pfizer Files Antitrust Lawsuit Against J&amp;J,196963,2017/9/21,Y,
533863,EXCHANGE --- Strategy -- Full Disclosure: Starbucks Slow-Roasts Its Scandal,216274,2018/6/2,Y,
533864,U.S. News: Fake-Accounts Scandal Haunts Wells Fargo,259473,2020/1/15,Y,
533865,Vivendi Universal SA: Court Reduces Massive Penalty Delivered Against Music Group,623251,2005/6/15,Y,
533866,"HealthSouth Insiders Buy $3 Million in Stock; Accounting Scandal In the Past, Is It Time To Play Offense Again?",701341,2007/12/5,Y,
533867,Wal-Mart Is in Talks to Settle Probe Involving Illegal Workers,680228,2004/8/4,Y,
533868,Whirlpool Seals Maytag Deal; Antitrust Review Is Next Battle,633312,2005/8/23,Y,
533869,Texas Board Rules Ford Illegally Acted As Dealer on Web Site,481761,2001/4/2,Y,
533870,Executives on Trial: HealthSouth Ex-Executive Says Scrushy Came to Meeting on Fraud,660571,2005/2/25,Y,
533871,Tribune Co.: Newsday Will Cut 100 Jobs In Wake of Circulation Scandal,614876,2004/11/12,Y,
533872,Apple Wins Delay in Monopoly Case,317885,2021/12/9,Y,
533873,GlobalFoundries Files Suit Against IBM --- Chip maker claims tech bellwether violated intellectual- property rights,357930,2023/4/20,Y,
533874,"Global Finance: BofA Trails in Mortgage Pact --- Lender on Hook for Largest Piece of Five-Bank, $25 Billion Foreclosure Settlement",60063,2012/8/30,Y,
533875,Ohio Is Exploring Penalties Against FirstEnergy Corp.,715357,2003/11/21,Y,
533876,Micron Technology Accuses Rambus Inc. In Lawsuit of Violating Antitrust Laws,456406,2000/8/30,Y,
533877,FCC Moves to Restrict Access to Documents In AOL-Time Warner Merger After Leak,501558,2000/10/30,Y,
533878,Covad Communications Group Inc.: Antitrust Suit Against Verizon Is Dropped and MCI Deal Is Set,684551,2005/12/29,Y,
533879,GMAC Settles Markup Bias Lawsuit,599212,2004/2/11,Y,
533880,BofA Takes New Crisis-Era Hit --- Shareholder Lawsuit Tied to Merrill Deal Is Settled for $2.43 Billion; 'Bill Is Surely Set to Increase',11831,2012/9/29,Y,
533881,GM Says Fiat Chrysler Bribed Its Way to Better Labor Deal,265101,2019/11/21,Y,
533882,Jobs Insecurity at Apple,870913,2011/1/19,Y,
533883,"EXCHANGE --- Google's Nice Guy in Chief Gets Ready for a Fight --- His compassionate style helped propel Sundar Pichai to the top at the search giant. Now, he's contending with possible antitrust lawsuits, a recent revenue drop and pressure to prune Alphabet's empire -- or chart a new path for the company.",287937,2020/9/12,Y,
533884,"Court Ruling Favors Ford, Firestone --- Class-Action Status Denied Plaintiffs in Suit Alleging Breach of Warranty, Fraud",485080,2002/5/3,Y,
533885,Delta Air Lines Inc.: Accord Is Reached to Settle Discrimination Complaint,661680,2004/6/22,Y,
533886,"Double Trouble: Ties to Two Firms Tainted by Scandal Haunt Top Doctor --- A Director at Enron, ImClone, John Mendelsohn Sparked `Fireball' at His Hospital --- Dilemma for Houston's Elite",577142,2002/12/24,Y,
533887,Business News: Netflix's 'Tiger King 2' Goes On Amid Lawsuit,312914,2021/11/17,Y,
533888,Southern California Dismisses Lawsuit On High Power Prices,594309,2003/1/8,Y,
533889,Politics &amp; Economics: Intel Assails EU's Claim It Violated Antitrust Rules,791801,2007/7/28,Y,
533890,Georgia Power Unit Of Southern Is Sued For Racial Harassment,489377,2002/2/27,Y,
533891,"Japan Inc. to Citi: Welcome Back to the Game; Rebounding From 2004 Scandal, Financial Titan Leads Deal Makers With Its One-Stop-Shopping Pitch",695392,2006/12/28,,
533892,Citi Fined $30 Million For Analyst's Apple Leak,51395,2013/10/4,Y,
533893,"U.S. Asked to Probe `Antitrust Concerns' In Talks Between Postal Service, FedEx",485110,2000/9/19,Y,
533894,"U.S. Pushes States on Sprint Deal --- At issue is antitrust suit to halt $26 billion merger with T-Mobile, asset sale to Dish",243157,2019/7/26,Y,
533895,Fannie Mae Settlement Is Set to Be Paid Out,741457,2007/5/1,Y,
533896,Retail Brief -- Wal-Mart Stores Inc.: Settlement Reached for Failure To Report Equipment Hazards,542863,2003/4/28,Y,
533897,Officials in 2 States Question Settlement With Merrill Lynch,509527,2002/6/11,Y,
533898,Global Finance: Greenberg Sues U.S. Over AIG Rescue --- Insurer's Former Chief Executive and Largest Shareholder Alleges Bailout Violated the Constitution,910166,2011/11/22,Y,
533899,"Global Finance: Citigroup Settlement 'Fair,' SEC Tells Court",899866,2011/11/8,Y,
533900,Tyson Foods Inc.: Firm Will Pay $1.5 Million To Settle Discrimination Suit,726692,2006/9/28,Y,
533901,"Violations Should Cost MP3.com $450 Million, Universal Tells Judge",472435,2000/9/6,Y,
533902,Biogen to Pay $55 Million in Deal To Settle Schering Patent Lawsuit,561693,2003/2/4,Y,
533903,Boeing Board Must Face MAX Lawsuit,302505,2021/9/9,Y,
533904,"Business Brief -- Georgia-Pacific Corp.: Payment of $200,000 Is Set In Racial-Harassment Suit",635719,2001/4/4,Y,
533905,"Corporate News: Facebook Breach Exposes Emails, Phone Numbers",62520,2013/6/22,Y,
533906,Energy Brief -- Xcel Energy Inc.: Reorganization Needs Approval By Court to Ensure Settlement,647747,2003/6/30,Y,
533907,"The Mossberg Solution: Music That You Don't Have to Steal --- We Test Apple's New Service; It Beats the Illegal Free Sites, But Won't Run on a Dell, Dude",550214,2003/4/30,,
533908,"Google Dodges Antitrust Hit --- FTC Extracts Limited Concessions, Clears Web Giant of 'Search Bias' After Probe",7485,2013/1/4,Y,
533909,WorldCom-Sprint Merger Faces Setback --- Justice Department Staff Recommends Blocking Deal on Antitrust Issues,454117,2000/5/18,Y,
533910,Advanced Micro Devices Inc.: Antitrust Case Against Intel Is Set for Trial in April '09,764312,2006/9/28,Y,
533911,Business News: U.K. Agency Fines Pfizer $107 Million --- Antitrust regulator alleges drug company charged too much for epilepsy treatment,180167,2016/12/8,Y,
